,Alpha 3 Code,Year,IS dC_loss (TgCO2),IS dC_loss unc (TgCO2),LNLG dC_loss (TgCO2),LNLG dC_loss unc (TgCO2),LNLGIS dC_loss (TgCO2),LNLGIS dC_loss unc (TgCO2),LNLGOGIS dC_loss (TgCO2),LNLGOGIS dC_loss unc (TgCO2),IS NBE (TgCO2),IS NBE unc (TgCO2),LNLG NBE (TgCO2),LNLG NBE unc (TgCO2),LNLGIS NBE (TgCO2),LNLGIS NBE unc (TgCO2),LNLGOGIS NBE (TgCO2),LNLGOGIS NBE unc (TgCO2),IS NCE (TgCO2),IS NCE unc (TgCO2),LNLG NCE (TgCO2),LNLG NCE unc (TgCO2),LNLGIS NCE (TgCO2),LNLGIS NCE unc (TgCO2),LNLGOGIS NCE (TgCO2),LNLGOGIS NCE unc (TgCO2),Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,FUR IS,FUR LNLG,FUR LNLGIS,FUR LNLGOGIS
0,AFG,2015,1.2,41.9,54.6,180.0,39.3,154.0,-0.977,112.0,2.82,41.9,56.3,180.0,41.0,154.0,0.647,112.0,22.2,41.9,75.6,180.0,60.4,154.0,20.0,112.0,-2.43,1.7,4.06,1.22,19.4,0.798,0.37,0.01,0.2,0.19,0.03
1,AFG,2016,-1.27,32.4,67.6,234.0,50.6,175.0,17.7,118.0,0.628,32.4,69.4,234.0,52.5,175.0,19.6,118.0,21.1,32.4,90.0,234.0,73.0,175.0,40.1,118.0,-2.16,2.24,4.06,1.22,20.5,0.678,0.31,0.01,0.2,0.19,0.03
2,AFG,2017,-0.0733,43.4,77.1,233.0,54.5,180.0,10.3,128.0,1.89,43.4,79.1,233.0,56.5,180.0,12.3,128.0,23.0,43.4,100.0,233.0,77.5,180.0,33.3,128.0,-2.09,2.38,4.06,1.22,21.1,0.696,0.47,0.01,0.2,0.19,0.03
3,AFG,2018,-0.0931,40.6,132.0,320.0,116.0,243.0,44.2,183.0,1.94,40.6,134.0,320.0,118.0,243.0,46.3,183.0,27.4,40.6,159.0,320.0,144.0,243.0,71.8,183.0,-2.02,2.52,4.06,1.22,25.5,0.696,0.39,0.01,0.2,0.19,0.03
4,AFG,2019,-8.35,41.0,91.3,241.0,64.0,182.0,13.1,121.0,-6.32,41.0,93.3,241.0,66.0,182.0,15.1,121.0,21.5,41.0,121.0,241.0,93.9,182.0,42.9,121.0,-2.03,2.5,4.06,1.22,27.9,0.798,0.49,0.01,0.2,0.19,0.03
5,AFG,2020,3.16,34.3,104.0,202.0,86.1,197.0,14.7,109.0,5.06,34.3,106.0,202.0,88.0,197.0,16.6,109.0,30.8,34.3,131.0,202.0,114.0,197.0,42.3,109.0,-2.15,2.27,4.06,1.22,25.7,0.798,0.5,0.01,0.2,0.19,0.03
7,AGO,2015,193.0,309.0,-98.5,272.0,-80.1,238.0,49.8,226.0,177.0,309.0,-114.0,272.0,-95.3,238.0,34.6,226.0,192.0,309.0,-99.0,272.0,-80.6,238.0,49.3,226.0,-20.5,11.7,5.33,1.6,14.7,3.44,-1.03,0.18,0.69,0.72,0.71
8,AGO,2016,329.0,139.0,-231.0,304.0,-241.0,299.0,-146.0,159.0,313.0,139.0,-247.0,304.0,-257.0,299.0,-162.0,159.0,328.0,138.0,-232.0,304.0,-242.0,299.0,-147.0,159.0,-21.2,10.3,5.33,1.6,15.1,3.45,-1.14,0.18,0.69,0.72,0.71
9,AGO,2017,4.74,250.0,-512.0,396.0,-459.0,435.0,-223.0,385.0,-11.9,250.0,-529.0,396.0,-476.0,435.0,-240.0,385.0,3.73,250.0,-513.0,396.0,-460.0,435.0,-224.0,385.0,-22.0,8.73,5.33,1.6,15.7,3.79,-2.88,0.18,0.69,0.72,0.71
10,AGO,2018,83.9,169.0,-296.0,130.0,-214.0,160.0,-99.7,281.0,67.3,169.0,-313.0,130.0,-230.0,160.0,-116.0,281.0,83.4,169.0,-296.0,130.0,-214.0,160.0,-100.0,281.0,-22.0,8.79,5.33,1.6,16.1,3.79,-1.84,0.18,0.69,0.72,0.71
11,AGO,2019,256.0,162.0,-43.6,295.0,-36.8,303.0,139.0,349.0,238.0,162.0,-61.5,295.0,-54.7,303.0,121.0,349.0,255.0,162.0,-44.9,295.0,-38.1,303.0,138.0,349.0,-23.2,6.42,5.33,1.6,16.6,3.44,-1.31,0.18,0.69,0.72,0.71
